Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,70.239998,71.019997,70.239998,70.900002,60.554619,12456400
2020-01-03,71.339996,71.370003,70.160004,70.330002,60.067799,17386900
2020-01-06,70.320000,71.360001,70.230003,70.870003,60.528999,20081900
2020-01-07,70.500000,70.519997,69.510002,70.290001,60.033627,17387700
2020-01-08,70.110001,70.290001,69.169998,69.230003,59.128300,15137700
2020-01-09,69.139999,69.900002,68.629997,69.760002,59.580971,14811800
2020-01-10,69.930000,69.959999,69.120003,69.139999,59.051426,11995600
2020-01-13,69.199997,69.870003,69.110001,69.800003,59.615131,9953900
2020-01-14,69.379997,69.580002,68.889999,69.199997,59.102665,16261000
2020-01-15,69.199997,69.589996,68.889999,69.089996,59.008724,11390300
2020-01-16,69.300003,69.580002,68.800003,68.820000,58.778126,13340300
2020-01-17,68.750000,69.080002,68.290001,68.559998,58.556057,18144100
2020-01-21,68.379997,68.419998,67.510002,67.580002,57.719059,17982600
2020-01-22,67.559998,67.699997,67.000000,67.190002,57.385967,17033100
2020-01-23,66.709999,66.930000,66.050003,66.769997,57.027245,19605900
2020-01-24,66.540001,66.680000,66.040001,66.320000,56.642914,18238600
2020-01-27,65.419998,65.730003,64.699997,64.739998,55.293457,21231000
2020-01-28,65.110001,65.199997,64.629997,64.650002,55.216587,19664700
2020-01-29,65.029999,65.129997,63.900002,64.110001,54.755375,14202800
2020-01-30,63.779999,64.879997,63.430000,64.790001,55.336159,18544700
2020-01-31,63.200001,63.200001,61.860001,62.119999,53.055752,34282900
2020-02-03,61.380001,61.419998,60.369999,60.730000,51.868576,27389300
2020-02-04,61.450001,61.910000,59.889999,59.970001,51.219475,31922100
2020-02-05,60.750000,62.930000,60.599998,62.730000,53.576744,32099200
2020-02-06,62.930000,63.009998,61.779999,61.880001,52.850773,16055400
2020-02-07,61.410000,61.660000,61.060001,61.470001,52.500599,15112500
2020-02-10,60.480000,60.520000,59.619999,59.959999,51.946140,20934500
2020-02-11,60.580002,60.889999,60.169998,60.529999,52.439953,14908700
2020-02-12,61.340000,61.529999,60.560001,61.270000,53.081055,17862100
2020-02-13,61.060001,61.419998,60.560001,60.930000,52.786495,16949400
2020-02-14,61.150002,61.160000,60.279999,60.650002,52.543915,10855300
2020-02-18,60.150002,60.389999,59.450001,59.880001,51.876831,18948500
